word,0,CAT,Single Word?,alt,problem,can_be_noun,can_be_verb,replacement,parse
o'clock,751,,,,,,,,
sue's,27,,,,,,,,
y'all,18,,1,you all,,,,,
don't,13,,1,do not,,,,,
d'you,10,,0,do you,,,,,
dada's,10,,1,,,,,,
they're,8,,0,they are,,,,,
gilligan's_island,8,NP,0,,,,,,
blue's_clues,5,NP,0,,,,,,
pumbaa's_diet,5,,0,,,,,,
p'choo,5,,1,,,,,,
tadi's,5,,1,,,,,,
chi'has,5,,1,,,,,,
rock'n'roll,4,NP,0,rock and roll,,,,,
willn't,4,,0,will it not,,,,,
d'ya,4,,0,did ya,,,,,
binky's,4,NP,1,,,,,,
o'neil,4,,1,,,,,,
children's_palace,3,NP,0,,,,,,
all's,3,,,,,,,,
gon't,3,,,,1,,,,
don'ting,3,,,,1,,,,
d'avignon,3,,,,1,,,,
that's_entertainment,3,,0,that’s entertainment,,,,,
bro'has,3,,,,1,,,,
can't,3,,1,cannot,,,,,
o'reilly,3,NP,1,,,,,,
o'donnel,3,NP,1,,,,,,
mama'has,3,,0,mama has,,,,,
t'aime,3,,1,,,,,,
hershey's_kiss,2,NP,0,,,,,,
s'ilvous,2,,,,,,,,
charlotte's_web,2,NP,0,,,,,,
granny'has,2,,0,,,,,,
fifth's_disease,2,,0,,1,,,,
esze'l,2,,,,1,,,,
many's,2,,,,,,,,
boo_boo's,2,,1,booboos,,,,,
top'm,2,,,,,,,,
he_sang_as_he_sat_and_waited_by_his_billabong_you'll_come_waltzing_matilda_with_me,2,,0,,,,,,
gretchen's_house,2,NP,0,,,,,,
porky's_hiccups,2,,0,,,,,,
o'brien,2,NP,1,,,,,,
got's,2,,0,,1,,,,
moe's_bagels,2,NP,0,,,,,,
you're_not_elected_charlie_brown,2,NP,0,,,,,,
mother's_day,2,NP,0,,,,,,
timmy's_special_delivery,2,,0,,,,,,
you_can't_do_that_on_television,2,NP,0,,,,,,
pete's_dragon,2,NP,0,,,,,,
whitey's,2,NP,1,,,,,,
qu'est_ce,2,,,,1,,,,
ernie's_big_mess,2,,0,,,,,,
i_don't_know,2,,0,,,,,,
b'ring,2,,1,bring,,,,,
piggie's,2,,1,,,,,,
isn't,2,,0,is not,,,,,
c'est,2,,0,,,,,,
o'leary,2,NP,1,,,,,,
daddy'has,2,,0,,1,,,,
mommy'has,2,,0,,1,,,,
mine's,2,,1,,,,,,
two's,2,,1,,,,,,
can't_tell_boy,1,,0,,,,,,
things'll,1,,0,things will,,,,,
that's,1,,1,,,,,,
you's,1,,0,you are,,,,,
chidy's,1,,1,,,,,,
amn't,1,,1,amount,,,,,
wasn't,1,,1,was not,,,,,
children's_hospital,1,NP,0,,,,,,
ja'nos's,1,,,,1,,,,
bug's_life,1,,0,,,,,,
mudder's,1,,1,,,,,,
o'hara's,1,NP,1,,,,,,
daddy'is,1,,,,1,,,,
criptal's,1,,1,,1,,,,
moozer's,1,,1,,,,,,
t'es,1,,,,1,,,,
so's,1,,,,1,,,,
that'ss,1,,,,1,,,,
kerri'has,1,,,,1,,,,
lord'has,1,,,,1,,,,
see's,1,,1,,,,,,
whe's,1,,,,1,,,,
melly'has,1,,0,melly has,,,,,
yyu're,1,,0,you are,1,,,,
john'has,1,,0,john has,,,,,
ain't,1,,1,,,,,,
o'brian,1,NP,1,,,,,,
szorp's,1,,1,,,,,,
martha's_vineyard,1,NP,0,,,,,,
what'd,1,,,,1,,,,
iidon't,1,,,,,,,,
ernie's_little_lie,1,,0,,,,,,
down's,1,,1,,,,,,
papa'has,1,,0,papa has,,,,,
s'appelait,1,,,,1,,,,
budleyley's,1,,1,,,,,,
tommy's_camping_trip,1,,0,,,,,,
my's,1,,,,1,,,,
cow'has,1,,0,cow has,,,,,
that'scop,1,,,,1,,,,
ma'm,1,,1,,,,,,
daisy's_construction_crew,1,,0,,,,,,
parents'll,1,,0,parents will,,,,,
o'connell,1,NP,1,,,,,,
underroo's_man,1,,0,,1,,,,
c'mon,1,,1,come on,,,,,
sww's's,1,,,,1,,,,
kacky's,1,,1,,,,,,
carrie'has,1,,0,carrie has,,,,,
snyder's_drug_store,1,,0,,,,,,
tomorow's,1,,1,,,,,,
fell'd,1,,1,,,,,,
family_treasury_of_children's_stories_book_two,1,,0,,,,,,
killyball's,1,,1,,,,,,
blondie'is,1,,,,1,,,,
m'darl,1,,,,1,,,,
pam'has,1,,0,pam has,,,,,
weren't,1,,1,were not,,,,,
lois'is,1,,,,1,,,,
who's_my_mom,1,,0,,,,,,
now's,1,,1,,,,,,
don'ts,1,,1,,,,,,
o'thirty,1,,1,,1,,,,
spiders'll,1,,0,spiders will,,,,,
where's_baby's_belly_button,1,,0,,,,,,
words'll,1,,0,words will,1,,,,
meme's,1,,1,,,,,,
cory'has,1,,0,cory has,1,,,,
sandy'is,1,,0,sandy is,1,,,,
alissa'has,1,,0,alissa has,1,,,,
's,1,,,,1,,,,
sees's,1,,,,1,,,,
ever's,1,,,,1,,,,
chicky's,1,,,,1,,,,
moe's_bagel,1,,0,,,,,,
mom'has,1,,0,mom has,1,,,,
jason'has,1,,,,1,,,,
budleyleys'll,1,,,,1,,,,
dad'has,1,,0,dad has,,,,,
arctic's,1,,1,,,,,,
guy_can't_gundergtand_gou,1,,0,,,,,,
ke'so,1,,0,okay so,1,,,,
what's_her_name,1,,0,,,,,,
m'darling,1,,1,my darling,,,,,
brown'has,1,,0,brown has,1,,,,
dwww's,1,,,,1,,,,
gukka's,1,,1,,,,,,
where_is_baby's_bellybutton,1,,0,,,,,,
carhet's,1,,1,,,,,,
there's,1,,1,,,,,,
o'hare,1,NP,1,,,,,,
cica'm,1,,0,siccum,1,,,,
what'iscop,1,,0,what is cop?,1,,,,
he's,1,,1,,,,,,
o'ryan,1,,1,,,,,,
be's,1,,,,1,,,,
an't,1,,1,ant,1,,,,
though's,1,,1,,,,,,
minivan's,1,,1,,,,,,
maria'has,1,,0,maria has,1,,,,
o'bobby,1,,1,,,,,,
gobber's,1,,1,,,,,,
ross'a,1,,1,,,,,,
micawber's_book_store,1,NP,0,,,,,,
ow's,1,,1,,,,,,
bubby's,1,,1,,,,,,
mama'is,1,,0,mama is,,,,,
where's_your_belly,1,,0,,,,,,
mister_roger's_neighborhood,1,NP,0,,,,,,
reddy_fox's_sudden,1,,0,,,,,,
i'm_a,1,,0,I am a,,,,,
that's_my_dog,1,,0,,,,,,
father's_day,1,NP,0,,,,,,
richard'has,1,,0,richard has,,,,,
children's_museum,1,NP,0,,,,,,
